Date,Time,Lab_Temp_C,Lab_Pressure_kPa,Lab_Rel_Humidity,Gas_Flow_LPM,FlowSens_Gas_Temp_C,Thermocouple1_Temp_C,Thermocouple2_Temp_C,Purge_Gas
1/31/2025,53:58.2,24.23,97.828,27.515,0,23.63,22,21.48,None
1/31/2025,53:58.4,24.23,97.827,27.499,0,23.685,22,21.48,None
1/31/2025,53:58.7,24.23,97.827,27.499,0,23.685,22,21.54,None
1/31/2025,53:58.9,24.23,97.827,27.499,0,23.685,22,21.54,None
1/31/2025,53:59.2,24.23,97.827,27.51,0,23.63,22,21.54,None
1/31/2025,53:59.4,24.23,97.827,27.51,0,23.63,22.02,21.46,None
1/31/2025,53:59.7,24.23,97.827,27.51,0,23.63,22.02,21.46,None
1/31/2025,53:59.9,24.23,97.828,27.504,0,23.65,21.98,21.46,None
1/31/2025,54:00.2,24.23,97.828,27.504,0,23.65,21.98,21.44,None
1/31/2025,54:00.4,24.23,97.828,27.504,0,23.65,21.98,21.44,None
1/31/2025,54:00.7,24.23,97.827,27.504,0,23.61,22,21.44,None
1/31/2025,54:00.9,24.23,97.827,27.504,0,23.61,22,21.54,None
1/31/2025,54:01.2,24.23,97.828,27.526,0,23.675,22,21.54,None
1/31/2025,54:01.5,24.23,97.828,27.526,0,23.675,21.93,21.54,None
1/31/2025,54:01.8,24.23,97.828,27.526,0,23.675,21.93,21.54,None
1/31/2025,54:02.0,24.23,97.835,27.505,0,23.67,21.93,21.54,None
1/31/2025,54:02.2,24.23,97.835,27.505,0,23.67,21.93,21.54,None
1/31/2025,54:02.5,24.23,97.835,27.505,0,23.67,21.93,21.39,None
1/31/2025,54:02.7,24.23,97.831,27.515,0,23.6,21.93,21.39,None
1/31/2025,54:03.0,24.23,97.831,27.515,0,23.6,21.88,21.44,None
1/31/2025,54:03.2,24.23,97.831,27.515,0,23.6,21.88,21.44,None
1/31/2025,54:03.5,24.23,97.831,27.515,0,23.61,21.88,21.44,None
1/31/2025,54:03.7,24.23,97.831,27.515,0,23.61,21.96,21.48,None
1/31/2025,54:04.0,24.23,97.831,27.515,0,23.61,21.96,21.48,None
1/31/2025,54:04.2,24.23,97.831,27.51,0,23.615,21.93,21.48,None
1/31/2025,54:04.5,24.23,97.831,27.51,0,23.615,21.93,21.55,None
1/31/2025,54:04.7,24.23,97.831,27.51,0,23.615,21.93,21.55,None
1/31/2025,54:05.0,24.23,97.832,27.51,0,23.62,22.02,21.55,None
1/31/2025,54:05.3,24.23,97.832,27.51,0,23.62,22.02,21.45,None
1/31/2025,54:05.5,24.23,97.833,27.515,0,23.615,22.02,21.45,None
1/31/2025,54:05.8,24.23,97.833,27.515,0,23.615,21.96,21.45,None
1/31/2025,54:06.0,24.23,97.833,27.515,0,23.615,21.96,21.44,None
1/31/2025,54:06.3,24.23,97.832,27.51,0,23.675,21.96,21.44,None
1/31/2025,54:06.5,24.23,97.832,27.51,0,23.675,22,21.44,None
1/31/2025,54:06.8,24.23,97.832,27.51,0,23.675,22,21.44,None
1/31/2025,54:07.0,24.23,97.83,27.499,0,23.665,22,21.44,None
1/31/2025,54:07.3,24.23,97.83,27.499,0,23.665,22.02,21.44,None
1/31/2025,54:07.5,24.23,97.83,27.499,0,23.665,22.02,21.57,None
1/31/2025,54:07.8,24.24,97.837,27.51,0,23.685,22.02,21.57,None
1/31/2025,54:08.0,24.24,97.837,27.51,0,23.685,21.98,21.52,None
1/31/2025,54:08.3,24.24,97.837,27.51,0,23.685,21.98,21.52,None
1/31/2025,54:08.6,24.24,97.835,27.521,0,23.67,21.98,21.52,None
