Frequency (Hz)	Level (dB)
2.929688	-40.536781
5.859375	-39.574516
8.789062	-37.904377
11.718750	-35.600132
14.648438	-29.289564
17.578125	-25.913164
20.507812	-9.817727
23.437500	-25.404682
26.367188	-28.995890
29.296875	-33.007172
32.226562	-34.038208
35.156250	-27.756285
38.085938	-27.477615
41.015625	-19.210796
43.945312	-28.662018
46.875000	-32.863209
49.804688	-34.030193
52.734375	-34.427181
55.664062	-27.714211
58.593750	-27.231047
61.523438	-23.440670
64.453125	-28.130526
67.382812	-32.773243
70.312500	-32.814606
73.242188	-32.753391
76.171875	-24.887932
79.101562	-26.278557
82.031250	-26.155289
84.960938	-27.488914
87.890625	-32.846752
90.820312	-32.690792
93.750000	-33.041920
96.679688	-27.954996
99.609375	-29.968462
102.539062	-31.682165
105.468750	-31.010704
108.398438	-34.223236
111.328125	-34.094643
114.257812	-33.936043
117.187500	-30.818096
120.117188	-34.384418
123.046875	-35.167015
125.976562	-34.267368
128.906250	-35.603062
131.835938	-34.328751
134.765625	-33.920063
137.695312	-33.873627
140.625000	-35.356583
143.554688	-35.642689
146.484375	-35.396339
149.414062	-35.372883
152.343750	-34.974804
155.273438	-35.213314
158.203125	-35.197002
161.132812	-36.446163
164.062500	-36.437679
166.992188	-36.784523
169.921875	-36.112606
172.851562	-36.265362
175.781250	-35.669239
178.710938	-36.071167
181.640625	-36.596828
184.570312	-36.397869
187.500000	-36.163399
190.429688	-36.348709
193.359375	-35.850342
196.289062	-36.101273
199.218750	-36.203236
202.148438	-35.527939
205.078125	-36.509968
208.007812	-35.699886
210.937500	-35.380348
213.867188	-35.372471
216.796875	-35.912342
219.726562	-35.382812
222.656250	-35.329369
225.585938	-35.150417
228.515625	-34.498638
231.445312	-35.214672
234.375000	-35.542358
237.304688	-35.745674
240.234375	-35.119522
243.164062	-34.315998
246.093750	-34.268517
249.023438	-33.764435
251.953125	-34.514820
254.882812	-34.293118
257.812500	-34.612873
260.742188	-32.968594
263.671875	-32.555897
266.601562	-32.771591
269.531250	-31.301348
272.460938	-32.469715
275.390625	-32.043919
278.320312	-32.095951
281.250000	-32.157188
284.179688	-32.768299
287.109375	-32.993134
290.039062	-33.787373
292.968750	-34.099403
295.898438	-33.758492
298.828125	-34.022739
301.757812	-34.760742
304.687500	-34.800602
307.617188	-35.038376
310.546875	-35.525394
313.476562	-35.902962
316.406250	-35.624355
319.335938	-35.286705
322.265625	-36.127674
325.195312	-36.421814
328.125000	-36.389671
331.054688	-36.990463
333.984375	-36.532806
336.914062	-37.172985
339.843750	-36.733521
342.773438	-37.383522
345.703125	-36.601753
348.632812	-37.126316
351.562500	-36.659462
354.492188	-37.107529
357.421875	-37.277401
360.351562	-37.426918
363.281250	-37.566738
366.210938	-37.858532
369.140625	-38.233349
372.070312	-37.945320
375.000000	-37.899689
377.929688	-37.940193
380.859375	-37.564766
383.789062	-37.351372
386.718750	-37.539883
389.648438	-37.566071
392.578125	-37.249809
395.507812	-37.937721
398.437500	-37.121777
401.367188	-37.732193
404.296875	-37.489922
407.226562	-37.184635
410.156250	-37.255409
413.085938	-37.302174
416.015625	-37.447933
418.945312	-38.068012
421.875000	-37.846741
424.804688	-37.781395
427.734375	-37.644394
430.664062	-37.991596
433.593750	-38.126892
436.523438	-37.942177
439.453125	-37.728977
442.382812	-38.764221
445.312500	-38.323063
448.242188	-37.988377
451.171875	-38.489143
454.101562	-38.315617
457.031250	-37.611820
459.960938	-37.575558
462.890625	-37.636490
465.820312	-37.615173
468.750000	-37.435181
471.679688	-37.997231
474.609375	-38.639862
477.539062	-38.188320
480.468750	-38.061451
483.398438	-37.470356
486.328125	-37.530563
489.257812	-37.504341
492.187500	-38.159344
495.117188	-37.677990
498.046875	-37.779095
500.976562	-37.366653
503.906250	-36.621082
506.835938	-36.982250
509.765625	-36.690128
512.695312	-37.082638
515.625000	-35.912224
518.554688	-36.695271
521.484375	-36.413555
524.414062	-35.513908
527.343750	-35.464745
530.273438	-35.093281
533.203125	-36.020409
536.132812	-35.244049
539.062500	-34.968483
541.992188	-34.532116
544.921875	-33.965179
547.851562	-34.625694
550.781250	-35.177437
553.710938	-35.504448
556.640625	-35.869804
559.570312	-35.601543
562.500000	-35.989517
565.429688	-35.927807
568.359375	-36.208984
571.289062	-36.726570
574.218750	-37.461582
577.148438	-37.775547
580.078125	-37.524662
583.007812	-37.536247
585.937500	-37.930923
588.867188	-38.003342
591.796875	-38.173885
594.726562	-38.531803
597.656250	-38.690628
600.585938	-38.899052
603.515625	-38.271240
606.445312	-39.026264
609.375000	-39.358086
612.304688	-39.361805
615.234375	-39.297832
618.164062	-39.462448
621.093750	-39.034241
624.023438	-39.617630
626.953125	-39.882710
629.882812	-39.677242
632.812500	-39.837341
635.742188	-39.342281
638.671875	-40.104683
641.601562	-40.272781
644.531250	-39.602940
647.460938	-39.974064
650.390625	-40.054306
653.320312	-40.066185
656.250000	-39.681870
659.179688	-39.405174
662.109375	-40.128101
665.039062	-40.872822
667.968750	-40.825066
670.898438	-40.079937
673.828125	-40.125660
676.757812	-39.855568
679.687500	-39.468616
682.617188	-40.392223
685.546875	-40.778019
688.476562	-40.491421
691.406250	-40.618530
694.335938	-40.442131
697.265625	-39.985363
700.195312	-40.461685
703.125000	-40.325333
706.054688	-40.473892
708.984375	-40.753040
711.914062	-40.637817
714.843750	-40.082016
717.773438	-40.305210
720.703125	-40.757484
723.632812	-40.208782
726.562500	-40.324112
729.492188	-40.442345
732.421875	-40.805435
735.351562	-40.090607
738.281250	-40.744190
741.210938	-41.043404
744.140625	-40.400963
747.070312	-40.506229
750.000000	-40.551601
752.929688	-40.573921
755.859375	-39.636143
