Frequency (Hz)	Level (dB)
2.929688	-33.163658
5.859375	-32.416481
8.789062	-31.182354
11.718750	-29.150225
14.648438	-26.204281
17.578125	-20.037838
20.507812	-10.596914
23.437500	-14.872422
26.367188	-21.866405
29.296875	-26.848927
32.226562	-29.790194
35.156250	-31.101728
38.085938	-30.068556
41.015625	-26.586561
43.945312	-23.069437
46.875000	-27.661009
49.804688	-32.614002
52.734375	-35.724854
55.664062	-35.288921
58.593750	-30.057894
61.523438	-22.308327
64.453125	-21.884766
67.382812	-24.232513
70.312500	-30.584038
73.242188	-35.254681
76.171875	-34.521431
79.101562	-29.226763
82.031250	-24.129637
84.960938	-24.989031
87.890625	-26.469316
90.820312	-27.272432
93.750000	-30.962578
96.679688	-35.362698
99.609375	-34.160507
102.539062	-30.653389
105.468750	-30.300098
108.398438	-35.090313
111.328125	-33.009621
114.257812	-34.468475
117.187500	-36.641155
120.117188	-33.917519
123.046875	-30.252426
125.976562	-30.748949
128.906250	-35.046917
131.835938	-34.413345
134.765625	-34.874645
137.695312	-36.604073
140.625000	-35.549286
143.554688	-32.979740
146.484375	-33.715797
149.414062	-35.906223
152.343750	-36.767944
155.273438	-37.178185
158.203125	-37.639950
161.132812	-36.927086
164.062500	-35.979256
166.992188	-36.827339
169.921875	-39.107868
172.851562	-38.574802
175.781250	-38.769253
178.710938	-38.955254
181.640625	-37.581024
184.570312	-36.856457
187.500000	-37.301018
190.429688	-38.145893
193.359375	-38.466431
196.289062	-39.077507
199.218750	-38.929607
202.148438	-38.068390
205.078125	-37.893692
208.007812	-37.728527
210.937500	-37.886333
213.867188	-37.747475
216.796875	-38.868885
219.726562	-38.171181
222.656250	-37.985924
225.585938	-37.189583
228.515625	-37.521587
231.445312	-38.452148
234.375000	-37.679996
237.304688	-37.782124
240.234375	-37.387619
243.164062	-37.618000
246.093750	-37.141922
249.023438	-36.424847
251.953125	-36.255615
254.882812	-36.130066
257.812500	-36.180634
260.742188	-36.492081
263.671875	-36.105522
266.601562	-36.986961
269.531250	-36.987160
272.460938	-37.593792
275.390625	-37.115803
278.320312	-37.871563
281.250000	-37.137302
284.179688	-37.810581
287.109375	-37.757923
290.039062	-38.676815
292.968750	-38.001820
295.898438	-38.064621
298.828125	-38.198193
301.757812	-38.266491
304.687500	-38.205212
307.617188	-38.368534
310.546875	-38.939854
313.476562	-39.819630
316.406250	-40.060673
319.335938	-39.292763
322.265625	-39.534439
325.195312	-39.858627
328.125000	-40.215416
331.054688	-40.547569
333.984375	-40.541275
336.914062	-40.534672
339.843750	-40.428356
342.773438	-40.403187
345.703125	-40.434338
348.632812	-40.343517
351.562500	-40.990887
354.492188	-40.940514
357.421875	-40.684280
360.351562	-40.659691
363.281250	-41.091297
366.210938	-41.144699
369.140625	-40.904392
372.070312	-41.162746
375.000000	-41.582478
377.929688	-40.730518
380.859375	-41.070084
383.789062	-40.954082
386.718750	-41.343304
389.648438	-40.866947
392.578125	-40.925209
