Frequency (Hz)	Level (dB)
2.929688	-34.925888
5.859375	-34.207989
8.789062	-33.064278
11.718750	-31.260798
14.648438	-28.708433
17.578125	-24.719318
20.507812	-16.235207
23.437500	-10.675591
26.367188	-23.022984
29.296875	-27.860928
32.226562	-30.860756
35.156250	-32.676044
38.085938	-33.866035
41.015625	-33.740776
43.945312	-24.175049
46.875000	-28.619556
49.804688	-35.498817
52.734375	-37.339268
55.664062	-38.296413
58.593750	-38.805206
61.523438	-38.853153
64.453125	-36.045082
67.382812	-27.029333
70.312500	-33.287273
73.242188	-39.145512
76.171875	-40.196259
79.101562	-40.759815
82.031250	-40.491497
84.960938	-39.132866
87.890625	-32.156788
90.820312	-30.718998
93.750000	-38.065430
96.679688	-41.083397
99.609375	-41.960106
102.539062	-42.143307
105.468750	-42.554516
108.398438	-42.016895
111.328125	-38.852375
114.257812	-40.297955
117.187500	-42.920013
120.117188	-42.735783
123.046875	-43.008320
125.976562	-42.612392
128.906250	-42.846031
131.835938	-41.485558
134.765625	-38.366474
137.695312	-41.482616
140.625000	-42.503597
143.554688	-43.051140
146.484375	-43.077156
149.414062	-43.025612
152.343750	-42.526836
155.273438	-41.398010
158.203125	-41.430779
161.132812	-42.674843
164.062500	-43.704758
166.992188	-42.681679
169.921875	-41.778934
172.851562	-41.926308
175.781250	-41.845200
178.710938	-41.071453
181.640625	-41.887295
184.570312	-42.050728
187.500000	-42.012932
190.429688	-41.836151
193.359375	-41.891273
196.289062	-41.418415
199.218750	-40.334785
202.148438	-38.070126
205.078125	-39.652355
208.007812	-39.385403
210.937500	-38.620773
213.867188	-38.346546
216.796875	-39.008934
219.726562	-38.941418
222.656250	-39.059319
225.585938	-40.168808
228.515625	-41.353367
231.445312	-41.961540
234.375000	-42.586308
237.304688	-43.237614
240.234375	-43.328987
243.164062	-43.739277
246.093750	-42.936577
249.023438	-43.936119
251.953125	-43.992134
254.882812	-43.671581
257.812500	-43.585712
260.742188	-44.006340
263.671875	-43.632721
266.601562	-44.061581
269.531250	-44.485065
272.460938	-44.634388
275.390625	-44.846233
278.320312	-46.339127
281.250000	-45.851238
284.179688	-45.320862
287.109375	-45.555115
290.039062	-46.185402
292.968750	-46.864250
295.898438	-47.030640
298.828125	-46.907890
