Frequency (Hz)	Level (dB)
2.929688	-44.625275
5.859375	-43.975952
8.789062	-43.013500
11.718750	-42.311424
14.648438	-41.239754
17.578125	-38.615959
20.507812	-35.122696
23.437500	-30.169472
26.367188	-6.721863
29.296875	-29.000849
32.226562	-34.488743
35.156250	-37.232769
38.085938	-38.582581
41.015625	-38.313671
43.945312	-37.692535
46.875000	-36.487293
49.804688	-31.933990
52.734375	-13.879704
55.664062	-29.867947
58.593750	-35.555279
61.523438	-38.400848
64.453125	-39.074982
67.382812	-38.716335
70.312500	-37.772045
73.242188	-35.179745
76.171875	-29.962952
79.101562	-15.024850
82.031250	-27.100439
84.960938	-33.520687
87.890625	-36.305458
90.820312	-36.545025
93.750000	-35.747047
96.679688	-35.324112
99.609375	-33.175438
102.539062	-27.989094
105.468750	-14.995142
108.398438	-24.102161
111.328125	-31.385349
114.257812	-35.518906
117.187500	-37.579620
120.117188	-39.061653
123.046875	-40.487633
125.976562	-41.034092
128.906250	-39.936790
131.835938	-33.563644
134.765625	-38.700596
137.695312	-41.599342
140.625000	-41.846924
143.554688	-40.484463
146.484375	-39.496250
149.414062	-38.340248
152.343750	-35.865292
155.273438	-30.720940
158.203125	-20.517742
161.132812	-24.830278
164.062500	-33.001099
166.992188	-37.180149
169.921875	-39.097450
172.851562	-40.358665
175.781250	-41.776855
178.710938	-41.754311
181.640625	-38.785648
184.570312	-30.609501
187.500000	-32.793491
190.429688	-40.615364
193.359375	-43.174870
196.289062	-44.590668
199.218750	-44.703255
202.148438	-43.742161
205.078125	-42.126095
208.007812	-38.156322
210.937500	-30.023581
213.867188	-30.209528
216.796875	-38.935722
219.726562	-42.795170
222.656250	-44.153866
225.585938	-44.803757
228.515625	-44.608524
231.445312	-43.479504
234.375000	-39.813984
237.304688	-32.454155
240.234375	-30.785444
243.164062	-40.182152
246.093750	-44.237240
249.023438	-46.691715
251.953125	-47.894287
254.882812	-48.863617
257.812500	-49.143402
260.742188	-47.448006
263.671875	-41.998299
266.601562	-38.662968
269.531250	-47.032055
272.460938	-49.467930
275.390625	-50.464966
278.320312	-50.648022
281.250000	-50.219433
284.179688	-48.428532
287.109375	-45.832832
290.039062	-39.872498
292.968750	-34.269978
295.898438	-44.698582
298.828125	-48.811337
301.757812	-50.789127
304.687500	-50.600056
307.617188	-51.095482
310.546875	-50.457455
313.476562	-48.610268
316.406250	-43.256454
319.335938	-36.091530
322.265625	-46.834637
325.195312	-51.488388
328.125000	-53.893188
331.054688	-54.385983
333.984375	-54.733673
336.914062	-53.979568
339.843750	-54.054104
342.773438	-50.222080
345.703125	-41.637527
348.632812	-51.037022
351.562500	-53.501080
354.492188	-54.741562
357.421875	-52.974937
360.351562	-52.948647
363.281250	-51.394634
366.210938	-51.110775
369.140625	-45.497681
372.070312	-34.508389
375.000000	-46.510757
377.929688	-51.703903
380.859375	-54.966194
383.789062	-54.318771
386.718750	-55.686886
389.648438	-56.018768
392.578125	-56.273689
395.507812	-54.323776
398.437500	-45.340195
401.367188	-53.984539
404.296875	-57.317966
407.226562	-56.941109
410.156250	-55.682564
413.085938	-55.220890
416.015625	-54.305355
418.945312	-55.223320
421.875000	-48.863815
424.804688	-36.084240
427.734375	-48.063152
430.664062	-52.400791
433.593750	-56.403584
436.523438	-54.673019
439.453125	-54.896332
442.382812	-55.329060
445.312500	-55.921375
448.242188	-51.337517
451.171875	-38.907055
454.101562	-50.082104
457.031250	-54.279034
459.960938	-57.135983
462.890625	-57.690701
465.820312	-58.052727
468.750000	-57.164322
471.679688	-57.784519
474.609375	-53.100605
477.539062	-41.786369
480.468750	-51.461819
483.398438	-54.911121
486.328125	-56.981106
489.257812	-55.328644
492.187500	-55.536133
495.117188	-56.325256
498.046875	-55.366215
500.976562	-50.496399
503.906250	-38.876102
506.835938	-47.741627
509.765625	-52.538105
512.695312	-56.700333
515.625000	-57.460831
518.554688	-57.392349
521.484375	-58.204960
524.414062	-57.943768
527.343750	-54.080910
530.273438	-44.300190
533.203125	-51.118973
536.132812	-55.568836
539.062500	-57.935421
541.992188	-57.504681
544.921875	-57.746658
547.851562	-57.981148
550.781250	-57.543777
553.710938	-53.914825
556.640625	-44.550022
559.570312	-49.958775
562.500000	-55.171494
565.429688	-58.040916
568.359375	-57.545345
571.289062	-57.557171
574.218750	-58.370697
577.148438	-56.769978
580.078125	-52.734982
583.007812	-43.673859
585.937500	-47.589951
588.867188	-53.403839
591.796875	-56.652912
594.726562	-58.424442
597.656250	-58.790146
600.585938	-60.219906
603.515625	-59.405113
606.445312	-57.845444
609.375000	-51.542137
612.304688	-53.594593
615.234375	-58.328045
618.164062	-59.698067
621.093750	-59.113140
624.023438	-60.100784
626.953125	-60.007713
629.882812	-58.929276
632.812500	-55.937340
635.742188	-48.813614
638.671875	-49.481110
641.601562	-55.360680
644.531250	-58.484276
647.460938	-59.292862
650.390625	-59.062820
653.320312	-60.577950
656.250000	-59.593632
659.179688	-56.778809
662.109375	-49.984543
665.039062	-49.439999
667.968750	-55.627525
670.898438	-58.923035
673.828125	-60.626011
676.757812	-61.613506
679.687500	-61.208084
682.617188	-61.449841
685.546875	-60.948227
688.476562	-58.831642
691.406250	-57.490688
694.335938	-61.136532
697.265625	-62.178436
700.195312	-61.019878
703.125000	-61.073265
706.054688	-61.485851
708.984375	-61.492874
711.914062	-59.554131
714.843750	-54.133335
717.773438	-51.046501
720.703125	-57.164070
723.632812	-60.391182
726.562500	-61.517357
729.492188	-62.108803
732.421875	-62.303917
735.351562	-62.589859
738.281250	-61.643337
741.210938	-59.202881
744.140625	-56.442532
747.070312	-61.642757
750.000000	-62.637859
752.929688	-62.884094
755.859375	-62.557178
758.789062	-62.315727
761.718750	-63.433418
764.648438	-62.712563
767.578125	-60.056980
770.507812	-56.691784
773.437500	-60.988838
776.367188	-62.485184
779.296875	-63.320141
782.226562	-63.642570
785.156250	-63.770947
788.085938	-63.652699
791.015625	-63.596558
793.945312	-63.063591
796.875000	-62.299061
799.804688	-63.383133
802.734375	-63.997307
805.664062	-64.174019
808.593750	-63.547977
811.523438	-63.976822
814.453125	-64.264854
817.382812	-63.691967
820.312500	-62.182083
823.242188	-57.872303
826.171875	-63.021641
829.101562	-63.794121
832.031250	-64.114563
