Frequency (Hz)	Level (dB)
2.929688	-34.934643
5.859375	-34.202862
8.789062	-33.124874
11.718750	-31.430006
14.648438	-28.871323
17.578125	-24.542156
20.507812	-15.576400
23.437500	-9.641470
26.367188	-20.212715
29.296875	-26.762100
32.226562	-30.119600
35.156250	-32.061451
38.085938	-33.004135
41.015625	-29.306334
43.945312	-23.726101
46.875000	-25.285021
49.804688	-28.718988
52.734375	-34.697098
55.664062	-35.511337
58.593750	-35.442524
61.523438	-31.324005
64.453125	-23.888365
67.382812	-20.887283
70.312500	-24.701763
73.242188	-29.358541
76.171875	-34.582649
79.101562	-35.920204
82.031250	-33.597843
84.960938	-26.938833
87.890625	-24.893597
90.820312	-25.975676
93.750000	-28.597134
96.679688	-31.768679
99.609375	-36.515999
102.539062	-37.669319
105.468750	-36.352100
108.398438	-31.867500
111.328125	-32.794849
114.257812	-34.528488
117.187500	-36.725418
120.117188	-38.283871
123.046875	-38.783401
125.976562	-37.353931
128.906250	-32.152710
131.835938	-32.640621
134.765625	-33.566105
137.695312	-35.374660
140.625000	-37.615143
143.554688	-39.619057
146.484375	-38.906830
149.414062	-36.133049
152.343750	-34.119392
155.273438	-37.296326
158.203125	-39.398540
161.132812	-39.788795
164.062500	-40.367229
166.992188	-40.902538
169.921875	-41.325943
172.851562	-39.924023
175.781250	-40.387539
178.710938	-41.038048
181.640625	-41.361034
184.570312	-41.978539
187.500000	-41.376728
190.429688	-40.584114
193.359375	-38.798725
196.289062	-39.131516
199.218750	-40.642891
202.148438	-41.804577
205.078125	-41.949715
208.007812	-41.893520
210.937500	-41.425709
213.867188	-40.944477
216.796875	-40.248375
219.726562	-40.922703
222.656250	-40.783180
225.585938	-40.553223
228.515625	-40.223831
231.445312	-39.629066
234.375000	-40.284615
237.304688	-40.273426
240.234375	-39.439560
243.164062	-40.119938
246.093750	-40.242638
249.023438	-39.871185
251.953125	-39.550926
254.882812	-39.424633
257.812500	-39.751472
260.742188	-39.603760
263.671875	-39.154472
266.601562	-38.150673
269.531250	-37.930595
272.460938	-37.502995
275.390625	-37.245838
278.320312	-36.568268
281.250000	-36.856617
284.179688	-37.547379
287.109375	-37.836765
290.039062	-38.347115
292.968750	-38.515480
295.898438	-39.136227
298.828125	-39.940445
301.757812	-40.397434
304.687500	-40.347355
307.617188	-40.511333
310.546875	-40.742233
313.476562	-40.505554
316.406250	-40.745892
319.335938	-40.899979
322.265625	-40.922279
325.195312	-40.944546
328.125000	-41.297153
331.054688	-41.843834
333.984375	-41.344284
336.914062	-42.158848
339.843750	-42.245651
342.773438	-41.756355
345.703125	-42.477058
348.632812	-42.754036
351.562500	-43.070946
354.492188	-42.633266
357.421875	-43.172585
360.351562	-42.763889
363.281250	-43.783569
366.210938	-43.457413
369.140625	-43.898125
372.070312	-44.023777
375.000000	-43.545078
377.929688	-44.466412
380.859375	-43.731541
383.789062	-43.717220
386.718750	-43.807510
389.648438	-43.688244
392.578125	-44.049496
395.507812	-44.154053
398.437500	-44.155750
401.367188	-43.908703
404.296875	-44.123440
407.226562	-44.425163
410.156250	-44.730865
413.085938	-44.640705
416.015625	-44.432289
418.945312	-44.243942
421.875000	-44.874897
424.804688	-44.692036
427.734375	-44.348484
430.664062	-44.643330
433.593750	-44.582092
