Frequency (Hz)	Level (dB)
2.929688	-45.802074
5.859375	-44.864208
8.789062	-43.212185
11.718750	-40.633945
14.648438	-36.287865
17.578125	-24.800381
20.507812	-22.152082
23.437500	-36.074562
26.367188	-39.905598
29.296875	-42.969139
32.226562	-44.121468
35.156250	-45.373711
38.085938	-44.126743
41.015625	-42.545788
43.945312	-46.542759
46.875000	-47.669300
49.804688	-48.337055
52.734375	-49.240078
55.664062	-49.568153
58.593750	-48.407070
61.523438	-48.159897
64.453125	-50.246426
67.382812	-51.837688
70.312500	-50.459778
73.242188	-50.407974
76.171875	-49.841099
79.101562	-48.392090
82.031250	-47.833363
84.960938	-49.371498
87.890625	-48.743446
90.820312	-49.195576
93.750000	-48.788193
96.679688	-47.820530
99.609375	-46.865387
102.539062	-47.286396
105.468750	-48.658928
108.398438	-48.543709
111.328125	-47.204151
114.257812	-45.625938
117.187500	-43.495422
120.117188	-42.762917
123.046875	-42.130196
125.976562	-40.484154
128.906250	-39.704994
131.835938	-40.461796
134.765625	-40.528812
137.695312	-41.378738
140.625000	-43.341801
143.554688	-44.155605
146.484375	-44.061985
149.414062	-42.875084
152.343750	-40.004105
155.273438	-39.764080
158.203125	-41.149994
161.132812	-42.659256
164.062500	-44.485439
166.992188	-46.807339
169.921875	-48.326355
172.851562	-48.507931
175.781250	-49.206394
178.710938	-49.042759
181.640625	-50.622490
184.570312	-49.480606
187.500000	-51.324276
190.429688	-53.045872
193.359375	-53.906086
196.289062	-52.813374
199.218750	-51.965157
202.148438	-52.584923
205.078125	-51.777447
208.007812	-53.678276
210.937500	-55.744305
213.867188	-55.673641
216.796875	-54.541420
219.726562	-55.627731
222.656250	-56.089531
225.585938	-56.267872
228.515625	-55.442257
231.445312	-56.361431
234.375000	-56.245403
237.304688	-56.103722
240.234375	-55.114052
243.164062	-53.467552
246.093750	-52.815712
249.023438	-50.825317
251.953125	-48.782223
254.882812	-48.171272
257.812500	-46.656834
260.742188	-47.287693
263.671875	-47.639538
266.601562	-47.044678
269.531250	-47.967476
272.460938	-48.907753
275.390625	-50.004848
278.320312	-49.913029
281.250000	-48.256516
284.179688	-48.430492
287.109375	-48.184963
290.039062	-47.302502
292.968750	-46.419682
295.898438	-46.073200
298.828125	-46.153000
301.757812	-46.878193
304.687500	-47.292564
307.617188	-47.448078
310.546875	-46.548000
313.476562	-47.876499
316.406250	-49.216366
319.335938	-49.332970
322.265625	-50.512669
325.195312	-48.832432
328.125000	-51.286224
331.054688	-52.486431
333.984375	-51.682747
336.914062	-50.796783
339.843750	-52.046085
342.773438	-52.998184
345.703125	-54.657204
348.632812	-54.612808
351.562500	-53.553818
354.492188	-53.434139
357.421875	-56.630287
360.351562	-54.666721
363.281250	-54.741142
366.210938	-53.415119
369.140625	-51.227657
372.070312	-50.975025
375.000000	-47.926369
377.929688	-47.164009
380.859375	-47.113445
383.789062	-46.639111
386.718750	-46.161682
389.648438	-45.927097
392.578125	-46.523968
395.507812	-47.338684
398.437500	-46.302353
401.367188	-46.879894
404.296875	-46.954838
407.226562	-46.801586
410.156250	-47.110439
413.085938	-46.356052
416.015625	-47.469536
418.945312	-48.129715
421.875000	-48.490955
424.804688	-49.359474
427.734375	-48.473717
430.664062	-49.260380
433.593750	-49.983612
436.523438	-51.140591
439.453125	-50.835392
442.382812	-51.305954
445.312500	-51.276722
448.242188	-51.947636
451.171875	-50.823959
454.101562	-51.571846
457.031250	-51.603275
459.960938	-51.157288
462.890625	-51.445282
465.820312	-50.902069
468.750000	-51.522232
471.679688	-53.040634
474.609375	-50.180706
477.539062	-51.028584
480.468750	-49.844730
483.398438	-48.427628
486.328125	-48.549744
489.257812	-48.436188
492.187500	-48.926041
495.117188	-47.592056
498.046875	-45.885216
500.976562	-45.776482
503.906250	-45.213699
506.835938	-44.443192
509.765625	-43.533882
512.695312	-42.999588
515.625000	-42.358303
518.554688	-42.553547
521.484375	-41.494942
524.414062	-42.521362
527.343750	-42.124168
530.273438	-43.036015
533.203125	-42.710892
536.132812	-43.016026
539.062500	-42.602539
541.992188	-42.327103
544.921875	-43.703106
547.851562	-43.171188
550.781250	-44.039196
553.710938	-43.908627
556.640625	-43.481529
559.570312	-43.234715
562.500000	-43.860924
565.429688	-44.291885
568.359375	-44.509533
571.289062	-44.671558
574.218750	-44.383976
577.148438	-44.630150
580.078125	-44.763859
583.007812	-44.287731
585.937500	-45.059521
588.867188	-45.564583
591.796875	-46.730301
594.726562	-47.018223
597.656250	-49.477390
600.585938	-49.745689
603.515625	-49.961185
606.445312	-50.435570
609.375000	-51.020710
612.304688	-51.127594
615.234375	-51.860664
618.164062	-52.206432
621.093750	-53.114384
624.023438	-54.212688
626.953125	-54.200966
629.882812	-54.993076
632.812500	-55.684647
635.742188	-55.157185
638.671875	-55.226826
641.601562	-55.102512
644.531250	-55.495567
647.460938	-55.274639
650.390625	-55.387848
653.320312	-55.816357
656.250000	-55.493935
659.179688	-55.721897
662.109375	-54.583046
665.039062	-54.628101
667.968750	-53.648140
670.898438	-52.971767
673.828125	-51.663097
676.757812	-52.249187
679.687500	-51.909229
682.617188	-51.931751
685.546875	-54.241177
688.476562	-54.069511
691.406250	-54.595299
694.335938	-55.004990
697.265625	-55.420696
700.195312	-54.715767
703.125000	-56.110779
706.054688	-55.690918
708.984375	-56.634598
711.914062	-57.563240
714.843750	-57.013012
717.773438	-56.967495
720.703125	-57.723820
723.632812	-57.454052
726.562500	-57.427094
729.492188	-57.098629
732.421875	-56.873779
735.351562	-58.397804
738.281250	-58.259323
741.210938	-57.558552
744.140625	-57.481670
747.070312	-57.475906
750.000000	-58.433445
752.929688	-58.885975
755.859375	-58.435612
758.789062	-57.906857
761.718750	-57.804001
764.648438	-58.102512
767.578125	-57.432770
770.507812	-57.275749
773.437500	-57.278202
776.367188	-55.379059
779.296875	-55.440887
782.226562	-55.395554
785.156250	-53.212608
788.085938	-52.869194
791.015625	-52.019051
793.945312	-51.842972
796.875000	-52.410614
799.804688	-51.535934
802.734375	-51.814434
805.664062	-53.009758
808.593750	-52.464146
811.523438	-53.531624
814.453125	-54.444172
817.382812	-55.076042
820.312500	-55.297211
823.242188	-54.630466
826.171875	-55.685051
829.101562	-55.591164
832.031250	-56.592052
834.960938	-56.769779
837.890625	-56.892555
840.820312	-56.051788
843.750000	-55.785736
846.679688	-56.143559
849.609375	-57.390995
852.539062	-56.287186
855.468750	-57.835979
858.398438	-58.282482
861.328125	-58.920132
864.257812	-57.887043
867.187500	-58.341042
870.117188	-56.732613
