Frequency (Hz)	Level (dB)
2.929688	-46.843254
5.859375	-46.787155
8.789062	-46.666264
11.718750	-47.503441
14.648438	-47.056316
17.578125	-47.181641
20.507812	-47.097569
23.437500	-47.304375
26.367188	-46.725922
29.296875	-47.096294
32.226562	-46.463142
35.156250	-46.838459
38.085938	-46.037182
41.015625	-46.146481
43.945312	-47.582039
46.875000	-47.124153
49.804688	-46.947845
52.734375	-47.388519
55.664062	-47.137791
58.593750	-46.764267
61.523438	-46.559299
64.453125	-46.896484
67.382812	-46.878418
70.312500	-47.674572
73.242188	-47.635239
76.171875	-47.385437
79.101562	-47.535351
82.031250	-47.354118
84.960938	-46.378967
87.890625	-47.121124
90.820312	-46.948021
93.750000	-46.674618
96.679688	-47.857838
99.609375	-46.609863
102.539062	-47.096874
105.468750	-46.473976
108.398438	-46.743179
111.328125	-46.936264
114.257812	-46.433071
117.187500	-46.974426
120.117188	-46.780384
123.046875	-46.833973
125.976562	-47.349915
128.906250	-47.222927
131.835938	-47.102200
134.765625	-46.614655
137.695312	-46.481113
140.625000	-46.837593
143.554688	-47.048271
146.484375	-47.291836
149.414062	-46.660385
152.343750	-47.045979
155.273438	-47.080841
158.203125	-46.860729
161.132812	-46.404041
164.062500	-46.517956
166.992188	-46.418182
169.921875	-47.054264
172.851562	-47.774231
175.781250	-46.400459
178.710938	-47.304180
181.640625	-46.883942
184.570312	-47.288349
187.500000	-46.977406
190.429688	-47.228550
193.359375	-46.305496
196.289062	-46.974068
199.218750	-46.931561
202.148438	-46.776966
205.078125	-47.056419
208.007812	-47.106564
210.937500	-47.482132
213.867188	-46.750286
216.796875	-47.392982
219.726562	-47.129429
222.656250	-46.518936
225.585938	-47.250561
228.515625	-46.829121
231.445312	-46.581566
234.375000	-46.190483
237.304688	-47.047199
240.234375	-47.646862
243.164062	-45.954422
246.093750	-46.137169
249.023438	-46.540939
251.953125	-47.466240
254.882812	-46.556461
257.812500	-47.385258
260.742188	-47.098034
263.671875	-47.008911
266.601562	-46.775700
269.531250	-47.011101
272.460938	-47.146645
275.390625	-47.317261
278.320312	-47.022972
281.250000	-46.312462
284.179688	-46.327595
287.109375	-47.060261
290.039062	-46.907120
292.968750	-47.333134
295.898438	-46.698338
298.828125	-47.238914
301.757812	-46.859837
304.687500	-47.065403
307.617188	-47.066311
310.546875	-46.840755
313.476562	-47.018723
316.406250	-47.013416
319.335938	-46.432533
322.265625	-46.679283
325.195312	-47.768841
328.125000	-47.259804
331.054688	-46.057907
333.984375	-46.906208
336.914062	-46.777172
339.843750	-46.540958
342.773438	-46.402172
345.703125	-46.918461
348.632812	-47.011261
351.562500	-46.966442
