Frequency (Hz)	Level (dB)
0.488281	-49.231617
0.976562	-49.360519
1.464844	-49.171120
1.953125	-49.089600
2.441406	-49.310127
2.929688	-49.088852
3.417969	-48.704636
3.906250	-48.158569
4.394531	-48.951752
4.882812	-48.508064
5.371094	-48.728794
5.859375	-48.357536
6.347656	-47.956486
6.835938	-47.706284
7.324219	-47.913803
7.812500	-46.741020
8.300781	-46.706005
8.789062	-46.801655
9.277344	-46.985470
9.765625	-46.338860
10.253906	-46.094074
10.742188	-45.872860
11.230469	-44.909176
11.718750	-44.584606
12.207031	-44.201332
12.695312	-43.361156
13.183594	-43.741398
13.671875	-42.787277
14.160156	-42.910255
14.648438	-41.680656
15.136719	-41.682659
15.625000	-40.018085
16.113281	-38.180298
16.601562	-31.956633
17.089844	-27.226112
17.578125	-33.090687
18.066406	-32.744629
18.554688	-32.079475
19.042969	-29.484224
19.531250	-26.895864
20.019531	-22.465549
20.507812	-13.418581
20.996094	-12.469909
21.484375	-22.805363
21.972656	-27.714397
22.460938	-31.200315
22.949219	-33.053360
23.437500	-35.654148
23.925781	-34.674728
24.414062	-29.091181
24.902344	-26.406507
25.390625	-33.586674
25.878906	-36.946873
26.367188	-38.266754
26.855469	-39.131409
27.343750	-40.046860
27.832031	-40.166073
28.320312	-39.064339
28.808594	-39.839943
29.296875	-42.047729
29.785156	-42.732311
30.273438	-43.746719
30.761719	-43.263882
31.250000	-44.076469
31.738281	-43.250484
32.226562	-43.324230
32.714844	-44.414631
33.203125	-42.230843
33.691406	-42.129097
34.179688	-41.623161
34.667969	-44.694187
35.156250	-44.029781
35.644531	-44.364780
36.132812	-42.259716
36.621094	-40.457878
37.109375	-35.089584
37.597656	-31.591925
38.085938	-33.757114
38.574219	-41.629623
39.062500	-41.439053
39.550781	-40.310619
40.039062	-39.413479
40.527344	-35.793419
41.015625	-29.426931
41.503906	-22.038631
41.992188	-28.494146
42.480469	-35.926445
42.968750	-39.328690
43.457031	-43.940998
43.945312	-46.686737
44.433594	-41.952354
44.921875	-37.633003
45.410156	-30.289511
45.898438	-37.585014
46.386719	-45.215969
46.875000	-46.781754
47.363281	-45.826847
47.851562	-48.252613
48.339844	-45.675064
48.828125	-45.037811
49.316406	-40.737411
49.804688	-43.648331
50.292969	-47.244022
50.781250	-45.774300
51.269531	-47.306381
51.757812	-46.510563
52.246094	-46.986549
52.734375	-47.932018
