Frequency (Hz)	Level (dB)
0.488281	-64.482758
0.976562	-64.474709
1.464844	-64.452881
1.953125	-64.434357
2.441406	-64.374763
2.929688	-64.335625
3.417969	-64.316910
3.906250	-64.289436
4.394531	-64.188705
4.882812	-64.124252
5.371094	-64.221611
5.859375	-63.889446
6.347656	-63.940964
6.835938	-63.911377
7.324219	-63.461555
7.812500	-63.350266
8.300781	-63.102066
8.789062	-63.179367
9.277344	-63.006706
9.765625	-63.024258
10.253906	-62.591000
10.742188	-62.615707
11.230469	-62.636551
11.718750	-61.974884
12.207031	-61.706940
12.695312	-62.278313
13.183594	-61.891804
13.671875	-60.519405
14.160156	-61.899750
14.648438	-60.300209
15.136719	-59.770138
15.625000	-59.805218
16.113281	-59.489201
16.601562	-58.434513
17.089844	-57.736240
17.578125	-59.341919
18.066406	-57.745995
18.554688	-58.005116
19.042969	-57.960972
19.531250	-55.834259
20.019531	-55.918850
20.507812	-56.124363
20.996094	-55.568844
21.484375	-54.240646
21.972656	-55.118130
22.460938	-52.586594
22.949219	-52.669090
23.437500	-51.279129
23.925781	-51.121872
24.414062	-48.865746
24.902344	-47.361565
25.390625	-43.320309
25.878906	-41.948334
26.367188	-39.778721
26.855469	-38.324062
27.343750	-34.682751
27.832031	-24.003738
28.320312	-26.842323
28.808594	-36.292347
29.296875	-40.917446
29.785156	-43.286320
30.273438	-46.626347
30.761719	-47.669163
31.250000	-48.871090
31.738281	-50.870022
32.226562	-50.190952
32.714844	-51.832481
33.203125	-52.583641
33.691406	-53.951286
34.179688	-52.902596
34.667969	-53.546490
35.156250	-54.101181
35.644531	-52.566250
36.132812	-55.154716
36.621094	-55.202454
37.109375	-55.057034
37.597656	-56.722919
38.085938	-56.482746
38.574219	-56.005486
39.062500	-55.542782
39.550781	-57.035816
40.039062	-56.801109
40.527344	-59.588074
41.015625	-55.536697
41.503906	-56.354115
41.992188	-55.279560
42.480469	-55.157516
42.968750	-56.439751
43.457031	-56.991405
43.945312	-54.078373
44.433594	-55.530899
44.921875	-54.100903
45.410156	-55.514656
45.898438	-55.532532
46.386719	-55.198822
46.875000	-53.763988
47.363281	-54.247551
47.851562	-54.386196
48.339844	-54.407242
48.828125	-55.615208
49.316406	-55.725231
49.804688	-55.423088
50.292969	-53.179245
50.781250	-55.750748
51.269531	-53.020573
51.757812	-53.288265
52.246094	-55.627651
52.734375	-53.538898
53.222656	-53.561581
53.710938	-51.426823
54.199219	-50.202095
54.687500	-51.799305
55.175781	-52.517529
55.664062	-47.846432
56.152344	-42.881630
56.640625	-48.990150
57.128906	-53.323429
57.617188	-53.562576
58.105469	-53.021919
58.593750	-54.310982
59.082031	-52.735073
59.570312	-52.996696
60.058594	-51.008202
60.546875	-50.962677
61.035156	-52.642437
61.523438	-52.427906
62.011719	-52.012260
62.500000	-52.789768
62.988281	-51.833893
63.476562	-54.455360
63.964844	-52.248158
64.453125	-53.430061
64.941406	-52.567448
65.429688	-52.484272
65.917969	-52.105907
66.406250	-52.266239
66.894531	-51.738686
67.382812	-51.772701
67.871094	-54.673561
68.359375	-51.686539
68.847656	-51.836239
69.335938	-52.604149
69.824219	-51.858604
70.312500	-53.825928
70.800781	-53.183571
71.289062	-52.370075
71.777344	-51.638157
72.265625	-51.231018
72.753906	-53.965454
73.242188	-53.745613
73.730469	-53.996601
74.218750	-54.820572
74.707031	-51.966965
75.195312	-53.180885
75.683594	-50.603848
76.171875	-50.565468
76.660156	-52.755928
77.148438	-54.122417
77.636719	-52.985363
78.125000	-52.234737
78.613281	-51.389229
79.101562	-52.022549
79.589844	-51.645134
80.078125	-52.806847
80.566406	-52.312592
81.054688	-52.051029
81.542969	-51.643761
82.031250	-54.420475
82.519531	-52.725830
83.007812	-54.298756
83.496094	-50.629539
83.984375	-49.325134
84.472656	-52.118511
84.960938	-52.252777
85.449219	-53.495880
85.937500	-53.343071
86.425781	-52.813667
86.914062	-52.820080
87.402344	-52.502048
87.890625	-56.606472
88.378906	-53.367958
