Frequency (Hz)	Level (dB)
0.488281	-51.685921
0.976562	-51.919182
1.464844	-51.335621
1.953125	-51.589664
2.441406	-51.471855
2.929688	-51.538239
3.417969	-51.476917
3.906250	-51.533333
4.394531	-51.043816
4.882812	-51.060917
5.371094	-51.068081
5.859375	-50.490997
6.347656	-50.372337
6.835938	-50.252941
7.324219	-50.012970
7.812500	-49.474403
8.300781	-49.918118
8.789062	-49.480316
9.277344	-49.070732
9.765625	-49.034935
10.253906	-48.464626
10.742188	-48.322735
11.230469	-47.965523
11.718750	-47.603745
12.207031	-47.269497
12.695312	-46.530441
13.183594	-46.403839
13.671875	-45.559704
14.160156	-45.365360
14.648438	-44.682087
15.136719	-44.509552
15.625000	-43.640011
16.113281	-42.997269
16.601562	-42.115913
17.089844	-41.572796
17.578125	-40.453896
18.066406	-39.625042
18.554688	-38.052795
19.042969	-34.975601
19.531250	-32.957325
20.019531	-27.701025
20.507812	-24.278757
20.996094	-25.192564
21.484375	-17.286448
21.972656	-16.818043
22.460938	-20.701530
22.949219	-13.873303
23.437500	-20.223845
23.925781	-24.290426
24.414062	-14.610241
24.902344	-26.829323
25.390625	-26.687874
25.878906	-24.555822
26.367188	-34.325645
26.855469	-33.998650
27.343750	-37.152679
27.832031	-39.650364
28.320312	-39.736324
28.808594	-41.450649
29.296875	-42.404339
29.785156	-42.653027
30.273438	-43.045376
30.761719	-44.552006
31.250000	-44.354908
31.738281	-45.086971
32.226562	-44.459637
32.714844	-45.463791
33.203125	-46.216812
33.691406	-45.773262
34.179688	-46.503696
34.667969	-47.052700
35.156250	-47.838364
35.644531	-48.223705
36.132812	-49.479992
36.621094	-48.161922
37.109375	-48.275810
37.597656	-47.943108
38.085938	-48.685146
38.574219	-49.340694
39.062500	-46.645813
39.550781	-46.249012
40.039062	-43.776848
40.527344	-42.833767
41.015625	-42.801586
41.503906	-37.930538
41.992188	-34.451550
42.480469	-34.464962
42.968750	-33.054764
43.457031	-29.481268
43.945312	-32.021648
44.433594	-29.618952
44.921875	-29.976315
45.410156	-35.355343
45.898438	-36.672401
46.386719	-36.605911
46.875000	-35.773045
47.363281	-28.870974
47.851562	-33.136868
48.339844	-33.146221
48.828125	-27.958662
49.316406	-34.832108
49.804688	-33.987411
50.292969	-33.547508
50.781250	-41.336391
51.269531	-38.878525
51.757812	-43.901852
52.246094	-46.065807
52.734375	-46.791950
53.222656	-48.184570
53.710938	-48.974514
54.199219	-50.219788
54.687500	-49.466557
55.175781	-49.231796
55.664062	-49.335762
56.152344	-48.344532
56.640625	-47.276119
57.128906	-48.836105
57.617188	-48.338261
58.105469	-50.096107
58.593750	-48.956490
59.082031	-48.767269
59.570312	-49.235931
60.058594	-45.593315
60.546875	-47.566925
61.035156	-45.159309
61.523438	-45.009216
62.011719	-41.161163
62.500000	-38.155754
62.988281	-37.363422
63.476562	-32.076580
63.964844	-31.148600
64.453125	-31.007975
64.941406	-27.474417
65.429688	-28.949852
65.917969	-28.483286
66.406250	-28.680391
66.894531	-32.706375
67.382812	-34.257683
67.871094	-36.926113
68.359375	-35.592773
68.847656	-31.744066
69.335938	-32.434193
69.824219	-37.589962
70.312500	-37.066532
70.800781	-37.874306
71.289062	-35.885334
71.777344	-33.325096
72.265625	-37.448753
72.753906	-36.890812
73.242188	-35.390438
73.730469	-39.280579
74.218750	-41.730247
74.707031	-44.487335
75.195312	-47.793003
75.683594	-46.878174
76.171875	-49.214569
76.660156	-48.721615
77.148438	-47.695946
77.636719	-49.368042
78.125000	-52.424480
78.613281	-49.877129
79.101562	-48.141693
79.589844	-48.503872
80.078125	-48.770081
80.566406	-47.428181
81.054688	-48.248142
81.542969	-47.857037
82.031250	-48.064369
82.519531	-46.152401
83.007812	-44.505257
83.496094	-43.144127
83.984375	-37.048630
84.472656	-36.639893
84.960938	-35.037682
85.449219	-32.177330
85.937500	-29.988298
86.425781	-30.466406
86.914062	-29.655146
87.402344	-30.521034
87.890625	-31.010895
88.378906	-34.025253
88.867188	-35.014736
89.355469	-39.277950
89.843750	-35.376118
90.332031	-37.146091
90.820312	-33.789425
91.308594	-34.886261
91.796875	-38.241898
92.285156	-38.065552
92.773438	-37.110336
93.261719	-34.955433
93.750000	-35.432148
94.238281	-38.741543
94.726562	-39.477970
95.214844	-39.120861
95.703125	-38.132820
96.191406	-36.992058
96.679688	-39.723980
97.167969	-38.888065
97.656250	-37.202229
98.144531	-41.148739
98.632812	-40.525459
99.121094	-43.668186
99.609375	-46.190128
100.097656	-46.261196
100.585938	-48.433006
101.074219	-48.196720
101.562500	-49.265686
102.050781	-52.185928
102.539062	-48.319473
103.027344	-50.372498
103.515625	-48.802086
104.003906	-48.132538
104.492188	-47.158054
104.980469	-44.852177
105.468750	-43.857944
105.957031	-43.492493
106.445312	-42.924564
106.933594	-38.900635
107.421875	-38.918385
107.910156	-40.108719
108.398438	-36.170677
108.886719	-36.957535
109.375000	-38.566147
109.863281	-40.346809
110.351562	-41.644810
110.839844	-43.642059
111.328125	-43.585453
111.816406	-43.588436
112.304688	-43.614349
112.792969	-42.578941
113.281250	-43.727280
113.769531	-44.648804
114.257812	-43.245163
114.746094	-45.355217
115.234375	-44.434544
115.722656	-43.990162
116.210938	-47.794453
116.699219	-45.064350
117.187500	-47.390278
117.675781	-44.834072
118.164062	-46.393944
118.652344	-47.656677
119.140625	-48.859489
119.628906	-47.080395
120.117188	-47.327854
120.605469	-46.817173
121.093750	-51.366528
121.582031	-47.156345
122.070312	-49.623928
122.558594	-48.694717
123.046875	-47.898418
123.535156	-49.346256
124.023438	-49.045284
124.511719	-50.897282
125.000000	-47.941677
125.488281	-47.752441
125.976562	-46.119904
126.464844	-43.764820
126.953125	-43.223274
127.441406	-43.257820
127.929688	-40.775978
128.417969	-37.347721
128.906250	-38.451458
129.394531	-37.887081
129.882812	-36.522980
130.371094	-36.604057
130.859375	-39.358376
131.347656	-38.545040
131.835938	-42.270721
132.324219	-45.100281
132.812500	-46.532726
133.300781	-43.242233
133.789062	-43.289661
134.277344	-44.369911
134.765625	-43.760387
135.253906	-44.657894
135.742188	-46.113567
136.230469	-46.027832
136.718750	-45.484566
137.207031	-45.679871
137.695312	-45.026234
138.183594	-48.386166
138.671875	-45.817142
139.160156	-47.931923
139.648438	-47.674210
140.136719	-47.649010
140.625000	-48.469051
141.113281	-51.628719
141.601562	-51.033077
142.089844	-49.684708
142.578125	-48.250404
143.066406	-50.133656
143.554688	-52.071621
144.042969	-51.008377
144.531250	-49.711609
145.019531	-48.336643
145.507812	-49.736221
145.996094	-50.423336
146.484375	-50.713795
146.972656	-46.968239
147.460938	-46.361858
147.949219	-48.047615
148.437500	-44.481133
148.925781	-43.064163
149.414062	-44.749767
149.902344	-40.559612
150.390625	-40.928772
150.878906	-39.634491
151.367188	-38.584198
151.855469	-41.034176
152.343750	-40.467442
152.832031	-40.387352
153.320312	-43.243927
153.808594	-45.679874
154.296875	-48.852524
154.785156	-46.092388
155.273438	-45.265026
155.761719	-44.881863
156.250000	-46.474136
156.738281	-47.308590
157.226562	-45.613228
157.714844	-45.768093
158.203125	-46.375206
158.691406	-46.505379
159.179688	-46.963783
159.667969	-46.859749
160.156250	-46.431389
160.644531	-49.990185
161.132812	-47.309673
161.621094	-48.711765
162.109375	-48.316887
162.597656	-47.851166
163.085938	-48.469887
163.574219	-49.736130
164.062500	-53.900272
164.550781	-49.242928
165.039062	-48.758713
165.527344	-47.776371
166.015625	-51.177536
166.503906	-51.031498
166.992188	-54.315998
167.480469	-49.980339
167.968750	-50.033199
168.457031	-49.364216
168.945312	-48.628319
169.433594	-51.465118
169.921875	-47.963524
170.410156	-48.734058
170.898438	-46.963200
171.386719	-46.777473
171.875000	-45.040073
172.363281	-47.501194
172.851562	-46.422794
173.339844	-48.968540
173.828125	-47.967155
174.316406	-46.694237
174.804688	-48.189571
175.292969	-50.124989
175.781250	-49.921959
176.269531	-49.025986
176.757812	-49.062206
177.246094	-48.225494
177.734375	-48.865921
178.222656	-51.873447
178.710938	-50.927044
179.199219	-52.288265
179.687500	-47.742409
180.175781	-48.024082
180.664062	-49.703152
181.152344	-47.917088
181.640625	-48.420128
182.128906	-50.124390
182.617188	-50.022625
183.105469	-48.590214
183.593750	-50.286297
184.082031	-49.742428
184.570312	-48.562439
185.058594	-47.433899
185.546875	-49.274162
186.035156	-50.498798
186.523438	-50.732162
187.011719	-50.066391
187.500000	-50.216759
187.988281	-49.784229
188.476562	-49.130936
188.964844	-49.470867
189.453125	-50.838650
189.941406	-46.684799
190.429688	-48.526093
190.917969	-49.235458
191.406250	-49.549438
191.894531	-45.943554
192.382812	-48.327332
192.871094	-46.253754
193.359375	-45.954590
193.847656	-46.099247
194.335938	-44.984703
194.824219	-44.283127
195.312500	-47.175545
195.800781	-45.291843
196.289062	-47.198772
196.777344	-47.492512
197.265625	-47.701061
197.753906	-49.928234
198.242188	-51.539070
198.730469	-49.211586
199.218750	-47.531200
199.707031	-50.404404
200.195312	-50.572765
200.683594	-48.453499
201.171875	-48.774860
201.660156	-49.362869
202.148438	-50.052734
202.636719	-48.682041
203.125000	-49.134464
203.613281	-51.415016
204.101562	-50.773281
204.589844	-50.599461
205.078125	-50.544407
205.566406	-48.218525
