Frequency (Hz)	Level (dB)
0.488281	-97.690758
0.976562	-97.647560
1.464844	-97.566811
1.953125	-97.430374
2.441406	-97.864052
2.929688	-97.185844
3.417969	-97.380028
3.906250	-96.034103
4.394531	-97.771408
4.882812	-96.921600
5.371094	-97.691925
5.859375	-95.421745
6.347656	-95.030136
6.835938	-94.492874
7.324219	-96.211792
7.812500	-97.265152
8.300781	-96.736732
8.789062	-95.816994
9.277344	-96.314423
9.765625	-95.135262
10.253906	-92.542221
10.742188	-91.964951
11.230469	-91.915840
11.718750	-91.488075
12.207031	-93.919899
12.695312	-93.289505
13.183594	-92.993645
13.671875	-90.645050
14.160156	-92.740242
14.648438	-90.840164
15.136719	-90.139862
15.625000	-92.931641
16.113281	-93.695427
16.601562	-92.680344
17.089844	-89.133240
17.578125	-91.460091
18.066406	-91.240059
18.554688	-88.879967
19.042969	-91.258881
19.531250	-90.810936
20.019531	-88.207336
20.507812	-92.540916
20.996094	-91.274567
21.484375	-89.046471
21.972656	-89.730675
22.460938	-87.452805
22.949219	-90.836792
23.437500	-88.821922
23.925781	-86.864037
24.414062	-88.015060
24.902344	-86.894455
25.390625	-88.332703
25.878906	-90.221855
26.367188	-88.050346
26.855469	-88.110603
27.343750	-86.770531
27.832031	-88.352417
28.320312	-88.627167
28.808594	-86.830566
29.296875	-88.240074
29.785156	-85.756844
30.273438	-86.274696
30.761719	-85.878571
31.250000	-87.317986
31.738281	-88.707832
32.226562	-88.640236
32.714844	-89.122276
33.203125	-84.771042
33.691406	-86.761101
34.179688	-86.983994
34.667969	-86.707985
35.156250	-84.074684
35.644531	-87.664757
36.132812	-85.499374
36.621094	-86.479080
37.109375	-84.990540
37.597656	-86.049835
38.085938	-85.680672
38.574219	-84.812035
39.062500	-87.006828
39.550781	-85.869881
40.039062	-84.718643
40.527344	-84.064575
41.015625	-86.812759
41.503906	-85.393822
41.992188	-84.530861
42.480469	-84.420883
42.968750	-83.235207
43.457031	-85.369896
43.945312	-84.492126
44.433594	-84.851410
44.921875	-85.567917
45.410156	-83.770622
45.898438	-84.378265
46.386719	-82.154160
46.875000	-83.802605
47.363281	-85.990158
47.851562	-84.734512
48.339844	-83.869385
48.828125	-82.429398
49.316406	-82.178421
49.804688	-83.689766
50.292969	-83.668404
50.781250	-82.300720
51.269531	-86.550880
51.757812	-82.701698
52.246094	-85.240303
52.734375	-82.676018
53.222656	-83.993088
53.710938	-82.445984
54.199219	-83.135689
54.687500	-84.283943
55.175781	-82.942551
55.664062	-85.155891
56.152344	-81.272263
56.640625	-82.358604
57.128906	-84.741920
57.617188	-83.372871
58.105469	-81.733887
58.593750	-82.375717
59.082031	-82.642418
59.570312	-80.945320
60.058594	-81.972794
60.546875	-81.796379
61.035156	-82.734215
61.523438	-82.095222
62.011719	-83.370644
62.500000	-82.129532
62.988281	-83.063332
63.476562	-81.577675
63.964844	-79.399452
64.453125	-83.183357
64.941406	-82.749001
65.429688	-81.658134
65.917969	-81.923447
66.406250	-80.156395
66.894531	-83.189758
67.382812	-83.438942
67.871094	-82.297356
68.359375	-84.814156
68.847656	-81.144676
69.335938	-82.216835
69.824219	-81.410110
70.312500	-81.596275
70.800781	-81.436882
71.289062	-83.332245
71.777344	-82.952011
72.265625	-81.367706
72.753906	-81.415833
73.242188	-81.381828
73.730469	-81.193230
74.218750	-80.672577
74.707031	-80.650162
75.195312	-82.870033
75.683594	-79.850273
76.171875	-82.693268
76.660156	-82.470840
77.148438	-78.801544
77.636719	-78.509369
78.125000	-79.622650
78.613281	-80.936386
79.101562	-81.136368
79.589844	-80.974182
80.078125	-80.410721
80.566406	-81.443863
81.054688	-83.919807
81.542969	-81.987526
82.031250	-79.751953
82.519531	-79.695145
83.007812	-79.538864
83.496094	-78.749031
83.984375	-79.548523
84.472656	-78.036507
84.960938	-82.658424
85.449219	-81.889458
85.937500	-82.013725
86.425781	-80.534370
86.914062	-80.733406
87.402344	-78.937447
87.890625	-80.383621
88.378906	-80.673004
88.867188	-79.695358
89.355469	-80.684814
89.843750	-80.552734
90.332031	-80.097702
90.820312	-82.024948
91.308594	-82.373276
91.796875	-80.974625
92.285156	-73.917000
92.773438	-79.547798
93.261719	-78.563026
93.750000	-78.338295
94.238281	-81.735214
94.726562	-81.828148
95.214844	-79.182999
95.703125	-83.123390
96.191406	-81.552628
96.679688	-79.137794
97.167969	-80.433411
97.656250	-82.529152
98.144531	-81.152550
98.632812	-82.273804
99.121094	-81.717110
99.609375	-80.898201
100.097656	-81.655258
100.585938	-79.977058
101.074219	-81.276978
101.562500	-80.448250
102.050781	-79.278404
102.539062	-80.382858
103.027344	-83.085564
103.515625	-78.545059
104.003906	-81.536057
104.492188	-81.100189
104.980469	-81.818001
105.468750	-81.556747
105.957031	-81.020653
106.445312	-81.971741
106.933594	-80.953568
107.421875	-80.305389
107.910156	-81.917099
108.398438	-79.255096
108.886719	-80.634048
109.375000	-79.449547
109.863281	-80.161278
110.351562	-79.552437
110.839844	-80.143570
111.328125	-81.104919
111.816406	-79.562843
112.304688	-80.738098
112.792969	-80.687996
113.281250	-80.483261
113.769531	-81.080391
114.257812	-82.018387
114.746094	-82.368591
115.234375	-79.757622
115.722656	-79.428131
116.210938	-82.795372
116.699219	-80.137657
117.187500	-79.666382
117.675781	-81.447594
118.164062	-80.169800
118.652344	-71.981148
119.140625	-79.537369
119.628906	-79.526993
120.117188	-73.952652
120.605469	-80.723351
121.093750	-80.655594
121.582031	-82.089966
122.070312	-81.469414
122.558594	-79.954300
123.046875	-80.209160
123.535156	-81.419731
124.023438	-81.319359
124.511719	-83.976776
125.000000	-79.810463
125.488281	-82.086281
125.976562	-84.042557
126.464844	-79.190628
126.953125	-81.182724
127.441406	-80.131500
127.929688	-80.613327
128.417969	-80.771370
128.906250	-81.379021
129.394531	-81.342377
129.882812	-80.746117
130.371094	-79.972435
130.859375	-80.289993
131.347656	-79.488670
131.835938	-80.482368
132.324219	-80.368805
132.812500	-80.026054
133.300781	-80.998459
133.789062	-79.521828
134.277344	-79.287277
134.765625	-82.019104
135.253906	-80.532745
135.742188	-77.831985
136.230469	-78.335358
136.718750	-79.400841
137.207031	-82.104660
137.695312	-81.010292
138.183594	-79.938263
138.671875	-81.060013
139.160156	-82.571419
139.648438	-80.819962
140.136719	-78.829460
140.625000	-80.394203
141.113281	-81.238823
141.601562	-80.606873
142.089844	-80.405441
142.578125	-79.710678
143.066406	-82.155403
143.554688	-80.242340
144.042969	-79.735329
144.531250	-80.755493
145.019531	-78.746056
145.507812	-79.564072
145.996094	-78.517570
146.484375	-79.386993
146.972656	-83.606529
147.460938	-82.100967
147.949219	-79.501839
148.437500	-79.346260
148.925781	-79.369308
149.414062	-77.810547
149.902344	-79.811615
150.390625	-81.120331
150.878906	-81.595467
151.367188	-81.748909
151.855469	-80.414215
152.343750	-79.298042
152.832031	-79.253326
153.320312	-81.430923
153.808594	-78.277817
154.296875	-80.479645
154.785156	-79.214165
155.273438	-79.291527
155.761719	-79.842728
156.250000	-78.577805
156.738281	-81.353096
157.226562	-80.408852
157.714844	-79.980644
158.203125	-79.259048
158.691406	-79.115089
159.179688	-79.300522
159.667969	-80.454376
160.156250	-78.346336
160.644531	-78.387863
161.132812	-79.907257
161.621094	-80.383751
162.109375	-77.732170
162.597656	-75.995522
163.085938	-82.317505
163.574219	-81.133270
164.062500	-80.195091
164.550781	-79.466064
165.039062	-79.602692
165.527344	-79.609505
166.015625	-76.958054
166.503906	-78.185295
166.992188	-78.633026
167.480469	-78.755241
167.968750	-78.859810
168.457031	-78.997147
168.945312	-80.363525
169.433594	-79.703781
169.921875	-78.544922
170.410156	-77.079956
170.898438	-79.068810
171.386719	-79.243866
171.875000	-77.935143
172.363281	-75.599396
172.851562	-76.244408
173.339844	-77.477158
173.828125	-79.072380
174.316406	-77.759727
174.804688	-77.990463
175.292969	-76.847221
175.781250	-79.777023
176.269531	-78.570137
176.757812	-78.085213
177.246094	-77.967537
177.734375	-77.407860
178.222656	-76.911957
178.710938	-76.957420
179.199219	-76.949394
179.687500	-77.335114
180.175781	-75.257004
180.664062	-78.629555
181.152344	-76.925186
181.640625	-79.490364
182.128906	-79.471550
182.617188	-75.776222
183.105469	-77.038925
183.593750	-77.140686
184.082031	-75.908470
184.570312	-75.157478
185.058594	-75.987579
185.546875	-76.343994
186.035156	-80.086700
186.523438	-77.375160
187.011719	-77.981873
187.500000	-80.603035
187.988281	-77.054787
188.476562	-76.459175
188.964844	-75.841049
189.453125	-77.305656
189.941406	-73.838745
190.429688	-74.474525
190.917969	-75.290909
191.406250	-77.468666
191.894531	-76.862236
192.382812	-73.470551
192.871094	-75.680840
193.359375	-76.670250
193.847656	-74.019989
194.335938	-74.849586
194.824219	-73.775223
195.312500	-74.293327
195.800781	-75.658447
196.289062	-75.439178
196.777344	-75.382896
197.265625	-75.671448
197.753906	-76.051125
198.242188	-75.293137
198.730469	-73.959572
199.218750	-74.669098
199.707031	-74.556786
200.195312	-75.098602
200.683594	-73.639954
201.171875	-74.213234
201.660156	-75.647049
202.148438	-72.287041
202.636719	-70.917488
203.125000	-74.914856
203.613281	-73.368340
204.101562	-72.180344
204.589844	-73.868301
205.078125	-74.254738
205.566406	-73.465981
206.054688	-74.706917
206.542969	-73.540314
207.031250	-74.257011
207.519531	-75.311989
208.007812	-71.927170
208.496094	-74.023682
208.984375	-73.490738
209.472656	-72.624825
209.960938	-72.487747
210.449219	-72.476120
210.937500	-72.310287
211.425781	-72.073235
211.914062	-71.900757
212.402344	-72.653641
212.890625	-72.617935
213.378906	-69.361244
213.867188	-71.117310
214.355469	-71.593513
214.843750	-71.281143
215.332031	-69.209763
215.820312	-72.956963
216.308594	-70.923447
216.796875	-69.900482
217.285156	-69.616852
217.773438	-71.634399
218.261719	-71.782738
218.750000	-70.405983
219.238281	-70.898041
219.726562	-69.932274
220.214844	-71.254684
220.703125	-69.472153
221.191406	-69.224983
221.679688	-70.119957
222.167969	-70.224396
222.656250	-70.035446
223.144531	-70.124886
223.632812	-67.716644
224.121094	-66.714432
224.609375	-70.185417
225.097656	-70.665398
225.585938	-69.140419
226.074219	-68.884651
226.562500	-69.295959
227.050781	-69.189537
227.539062	-67.531898
228.027344	-70.803902
228.515625	-69.418282
229.003906	-71.101753
229.492188	-67.744072
229.980469	-67.728966
230.468750	-67.829460
230.957031	-67.571304
231.445312	-66.950043
231.933594	-65.408501
232.421875	-64.819809
232.910156	-66.799690
233.398438	-65.900902
233.886719	-65.249779
234.375000	-65.012306
234.863281	-66.410400
235.351562	-66.976288
235.839844	-66.344757
236.328125	-67.643372
236.816406	-65.750916
237.304688	-64.388168
237.792969	-66.991669
238.281250	-67.256409
238.769531	-66.047546
239.257812	-64.977295
239.746094	-67.189125
240.234375	-63.407848
240.722656	-63.732227
241.210938	-63.977718
241.699219	-66.723885
242.187500	-63.875290
242.675781	-63.154171
243.164062	-64.670616
243.652344	-62.686695
244.140625	-62.869450
244.628906	-61.615891
245.117188	-64.327507
245.605469	-63.926334
246.093750	-63.478531
246.582031	-62.805721
247.070312	-62.394848
247.558594	-63.353577
248.046875	-64.291412
248.535156	-61.036026
249.023438	-62.593796
249.511719	-64.346619
250.000000	-61.391403
250.488281	-63.525551
250.976562	-63.091866
251.464844	-62.500122
251.953125	-63.181213
252.441406	-62.786995
252.929688	-62.688271
253.417969	-60.648617
253.906250	-62.618095
254.394531	-63.054798
254.882812	-64.333336
255.371094	-60.648113
255.859375	-61.785057
256.347656	-64.014633
256.835938	-65.211899
257.324219	-64.429680
257.812500	-64.629730
258.300781	-63.817623
258.789062	-66.124489
259.277344	-64.524750
259.765625	-67.593872
260.253906	-65.792450
260.742188	-65.030640
261.230469	-63.817089
261.718750	-65.279991
262.207031	-67.959190
262.695312	-66.498634
263.183594	-64.283730
263.671875	-65.442879
264.160156	-67.924484
264.648438	-67.826271
265.136719	-66.156235
265.625000	-65.352432
266.113281	-66.728142
266.601562	-68.017792
267.089844	-65.724007
267.578125	-65.583069
268.066406	-65.743034
268.554688	-64.786415
269.042969	-69.614380
269.531250	-68.825981
270.019531	-66.624588
270.507812	-67.329758
270.996094	-66.518951
271.484375	-68.898491
271.972656	-67.209419
272.460938	-68.131683
272.949219	-70.000175
273.437500	-68.935608
273.925781	-68.987228
274.414062	-68.509163
274.902344	-70.415390
275.390625	-67.936409
275.878906	-66.686638
276.367188	-67.682220
276.855469	-67.945816
277.343750	-67.479752
277.832031	-70.198174
278.320312	-70.112572
278.808594	-70.294815
279.296875	-72.819839
279.785156	-70.538643
280.273438	-70.665710
280.761719	-72.388100
281.250000	-70.324669
281.738281	-71.135033
282.226562	-70.813637
282.714844	-71.968399
283.203125	-69.265205
283.691406	-70.716354
284.179688	-70.032173
284.667969	-71.502289
285.156250	-68.560333
285.644531	-71.828934
286.132812	-69.325790
286.621094	-73.845940
287.109375	-70.201035
287.597656	-71.571861
288.085938	-71.424591
288.574219	-71.464172
289.062500	-72.389816
289.550781	-71.294395
290.039062	-70.933800
290.527344	-69.491531
291.015625	-71.958145
291.503906	-70.365105
291.992188	-70.933014
292.480469	-71.524193
292.968750	-74.001282
293.457031	-71.793083
293.945312	-72.143272
294.433594	-70.941559
294.921875	-72.264763
295.410156	-71.859634
295.898438	-73.487556
296.386719	-74.110962
296.875000	-73.484085
297.363281	-72.373444
297.851562	-74.167473
298.339844	-72.394249
298.828125	-74.787537
299.316406	-73.713531
299.804688	-71.996323
300.292969	-74.051117
300.781250	-74.470947
301.269531	-74.392792
301.757812	-72.511955
302.246094	-72.654190
302.734375	-71.606499
303.222656	-74.449661
303.710938	-74.895058
304.199219	-73.675095
304.687500	-76.657982
305.175781	-75.605942
305.664062	-74.353065
306.152344	-73.149361
306.640625	-71.641647
307.128906	-74.904823
307.617188	-74.061958
308.105469	-74.308159
308.593750	-74.492668
309.082031	-73.098640
309.570312	-73.936317
310.058594	-72.593422
310.546875	-75.779305
311.035156	-73.692390
311.523438	-74.779045
312.011719	-75.849396
312.500000	-73.677971
312.988281	-74.542259
313.476562	-75.170692
313.964844	-73.091606
314.453125	-73.007172
314.941406	-73.904266
315.429688	-74.380196
315.917969	-73.069191
316.406250	-73.872543
316.894531	-72.653000
317.382812	-74.956985
317.871094	-75.041534
318.359375	-74.652435
318.847656	-77.158813
319.335938	-75.683693
319.824219	-73.913948
320.312500	-76.759499
320.800781	-74.650208
321.289062	-74.874840
321.777344	-77.263168
322.265625	-76.084770
322.753906	-75.920258
323.242188	-75.577042
323.730469	-75.022217
324.218750	-76.973129
324.707031	-74.129379
325.195312	-75.608505
325.683594	-75.951195
326.171875	-74.797752
326.660156	-77.095184
327.148438	-75.359955
327.636719	-77.614975
328.125000	-77.530472
328.613281	-76.320480
329.101562	-73.887642
329.589844	-75.541229
330.078125	-74.847519
330.566406	-75.778816
331.054688	-74.130486
331.542969	-75.069702
332.031250	-75.407944
332.519531	-75.432861
333.007812	-77.297226
333.496094	-76.667267
333.984375	-75.615547
334.472656	-76.764526
334.960938	-75.466301
335.449219	-75.881729
335.937500	-76.729828
336.425781	-76.066063
336.914062	-77.424026
337.402344	-74.351860
337.890625	-74.955414
338.378906	-74.601204
338.867188	-76.328514
339.355469	-77.721291
339.843750	-77.246468
340.332031	-75.453598
340.820312	-74.497948
341.308594	-79.154282
341.796875	-76.348083
342.285156	-75.692924
342.773438	-76.302010
343.261719	-76.298843
343.750000	-73.598282
344.238281	-75.724815
