Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9979
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.4000
Water Temp (deg C),23.30
Room Temp (deg C),24.37
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.37
30.00,24.38
60.00,24.38
90.00,24.36
120.00,24.35
150.00,24.37
180.00,24.38
210.00,24.35
240.00,24.35
270.00,24.37
300.00,24.36
330.00,24.38
360.00,24.36
390.00,24.36
420.00,24.35
450.00,24.37
480.00,24.37
510.00,24.37
540.00,24.37
570.00,24.38
600.00,24.35
630.00,24.35
660.00,24.35
690.00,24.35
720.00,24.38
750.00,24.38
780.00,24.38
810.00,24.37
840.00,24.37
870.00,24.37
900.00,24.36
930.00,24.38
960.00,24.36
