Frequency (Hz)	Level (dB)
0.488281	-79.759544
0.976562	-80.129250
1.464844	-79.946892
1.953125	-79.798203
2.441406	-79.905983
2.929688	-79.998322
3.417969	-79.839584
3.906250	-79.425491
4.394531	-79.152428
4.882812	-78.154846
5.371094	-78.617378
5.859375	-77.975075
6.347656	-77.637558
6.835938	-76.850792
7.324219	-78.069160
7.812500	-76.875694
8.300781	-76.422508
8.789062	-75.765388
9.277344	-76.202957
9.765625	-75.663315
10.253906	-73.577660
10.742188	-74.481674
11.230469	-74.881027
11.718750	-73.874428
12.207031	-70.814384
12.695312	-70.996178
13.183594	-69.961105
13.671875	-69.228516
14.160156	-68.399117
14.648438	-68.273994
15.136719	-67.675301
15.625000	-64.636124
16.113281	-66.331314
16.601562	-66.940224
17.089844	-67.385239
17.578125	-66.108032
18.066406	-65.729492
18.554688	-65.395790
19.042969	-65.213356
19.531250	-63.852329
20.019531	-62.593777
20.507812	-60.247177
20.996094	-57.697769
21.484375	-56.512356
21.972656	-57.172943
22.460938	-55.060711
22.949219	-55.238213
23.437500	-53.418316
23.925781	-52.033318
24.414062	-51.512447
24.902344	-48.104904
25.390625	-42.288528
25.878906	-41.421513
26.367188	-45.932983
26.855469	-47.268177
27.343750	-53.069942
27.832031	-52.884739
28.320312	-56.395565
28.808594	-58.743008
29.296875	-59.512447
29.785156	-59.355244
30.273438	-61.133034
30.761719	-62.877136
31.250000	-61.474209
31.738281	-64.804947
32.226562	-64.737617
32.714844	-62.953369
33.203125	-65.243309
33.691406	-65.299377
34.179688	-65.617523
34.667969	-65.663704
35.156250	-64.560913
35.644531	-65.302597
36.132812	-64.426498
36.621094	-66.476883
37.109375	-64.842514
37.597656	-65.830093
38.085938	-65.385117
38.574219	-64.545731
39.062500	-66.544815
39.550781	-63.924156
40.039062	-64.420189
40.527344	-66.225868
41.015625	-66.299004
41.503906	-65.472404
41.992188	-65.094200
42.480469	-63.305458
42.968750	-63.694538
43.457031	-64.966309
43.945312	-66.102608
44.433594	-62.309341
44.921875	-63.534176
45.410156	-64.048233
45.898438	-64.406433
46.386719	-64.111061
46.875000	-63.442410
47.363281	-62.722527
47.851562	-64.339081
48.339844	-61.551701
48.828125	-61.174206
49.316406	-61.532040
49.804688	-60.621948
50.292969	-62.229546
50.781250	-63.211426
51.269531	-60.527233
51.757812	-61.306534
52.246094	-63.013020
52.734375	-60.798813
53.222656	-62.275333
53.710938	-61.396912
54.199219	-61.363071
54.687500	-61.245087
55.175781	-60.735775
55.664062	-62.810654
56.152344	-62.797390
56.640625	-61.779762
57.128906	-61.322292
57.617188	-60.140015
58.105469	-61.825211
58.593750	-61.524059
59.082031	-60.910084
59.570312	-61.695206
60.058594	-60.647102
60.546875	-61.538383
61.035156	-61.201164
61.523438	-63.797501
62.011719	-62.822506
62.500000	-61.083164
62.988281	-61.480286
63.476562	-59.085114
63.964844	-61.259972
64.453125	-61.438652
64.941406	-60.228058
65.429688	-60.678604
65.917969	-59.680183
66.406250	-59.709766
66.894531	-60.945869
67.382812	-57.834751
67.871094	-60.027290
68.359375	-58.654263
68.847656	-60.264099
69.335938	-58.160477
69.824219	-59.247597
70.312500	-58.048058
70.800781	-57.627876
71.289062	-60.351170
71.777344	-60.878624
72.265625	-59.767281
72.753906	-59.358517
73.242188	-60.401524
73.730469	-59.174099
74.218750	-58.629848
74.707031	-59.178429
75.195312	-58.706436
75.683594	-57.927273
76.171875	-57.918804
76.660156	-58.811459
77.148438	-59.183884
77.636719	-57.483932
78.125000	-58.671906
78.613281	-57.726891
79.101562	-57.267044
79.589844	-58.552925
80.078125	-59.412327
80.566406	-58.653316
81.054688	-56.718025
81.542969	-57.435627
82.031250	-57.900776
82.519531	-59.091663
83.007812	-59.238468
83.496094	-58.846386
83.984375	-57.362160
84.472656	-58.055111
84.960938	-58.024986
85.449219	-59.420498
85.937500	-58.858723
86.425781	-58.808311
86.914062	-58.824265
87.402344	-56.937538
87.890625	-59.377163
88.378906	-58.981453
88.867188	-57.717026
89.355469	-58.662056
89.843750	-60.527618
90.332031	-57.205124
90.820312	-56.665039
91.308594	-57.623882
91.796875	-57.392651
92.285156	-56.430538
92.773438	-57.710613
93.261719	-58.700378
93.750000	-60.790882
94.238281	-58.469578
94.726562	-57.085049
95.214844	-56.232479
95.703125	-57.256302
96.191406	-57.553097
96.679688	-56.491459
