Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9979
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.4000
Water Temp (deg C),23.90
Room Temp (deg C),24.98
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.98
30.00,24.99
60.00,24.98
90.00,24.98
120.00,24.99
150.00,24.99
180.00,24.98
210.00,24.96
240.00,24.98
270.00,24.98
300.00,24.99
330.00,24.99
360.00,24.97
390.00,24.97
420.00,24.98
450.00,24.99
480.00,24.97
510.00,24.98
540.00,24.97
570.00,24.97
600.00,24.96
630.00,24.99
660.00,25.00
690.00,24.99
720.00,24.97
750.00,24.96
780.00,25.00
810.00,24.98
840.00,24.99
870.00,25.00
900.00,24.97
930.00,24.98
960.00,24.97
