Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9979
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.4000
Water Temp (deg C),22.80
Room Temp (deg C),23.85
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,23.85
30.00,23.85
60.00,23.86
90.00,23.87
120.00,23.86
150.00,23.84
180.00,23.85
210.00,23.87
240.00,23.83
270.00,23.86
300.00,23.87
330.00,23.84
360.00,23.87
390.00,23.84
420.00,23.87
450.00,23.86
480.00,23.85
510.00,23.84
540.00,23.87
570.00,23.84
600.00,23.87
630.00,23.87
660.00,23.87
690.00,23.86
720.00,23.84
750.00,23.84
780.00,23.84
810.00,23.86
840.00,23.84
870.00,23.86
900.00,23.85
930.00,23.84
960.00,23.84
